@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"explain actually produce worthless well pleasing much hyp confidently promote poorly bomb certainly deserve view bad honourable come handle heavy new actual make try imitate make suffer more exhausting lose tenderly win most remind southern not fan finally go instead just start expect end displease main whole join final judge whole entire say reward give deserve lose unexpectedly fail hit new still remind previous seriously form new impress again again do great return again hilarious fully develop act not least look really hot complain as too lean do not think instead slim slim good attract major say male nice appear begin young hope too lean forward make mentally still want say want admit thumb mishandle offer future minimum go practical sorry do not like good",-1
"just see very few good talk complete associate disappointed too just final bad feel try forget take make real unfortunately not much spend too stupid work south just pay watch favorite kill certainly not go work wish forward appear beat not pay think forget make good see current really sad like do not figure slow use too unrealistic childish well not handle just want have thrilling sound not very effective visually much well current open do not make more acquire make realistic",-1
"very displease terrible overdo weightless write successful high work too hard do not help rock think tend exaggerate too much Chinese work good no more look unrealistic future be sure much sharp noted not mix properly good",-1
"bad be give boring well know bad maybe maybe see cheesy give expect boring meet artificial do weird kinda act do alright get repetitive overact come provide nice film more bore outdated childish boring end get more direct work come fresh actually provide engaging irritate equally bad outrageously spoil more okay",-1
"absolutely awful utter loud understand well really listen closely speak actually unintelligible bad edit not present give dialog unintelligible acting abysmal use look starve slim gain want not allow want torture ahead watch",-1
"sometime fail understand think make have watch welcome again load amazing finally end amazing predictable stunt interesting apart watch major wise major spend give pathetic small have not think give do nice quite comparable not take sad say watch listen go overall very disappointed attempt speak bad away puke",-1
"never think standard degrade catch act improve not good good good say be not good great fill wonder suppose just few do mean make many good overall totally disappoint",-1
"horrible acting no cry hopeless great always want expect great let recognize sensational introduce award bad not comparable look want prove surpass come wear top short really wonder let have impress dress ask consider man have watch dream have naked include personally think dress really like force have really",-1
"define new low set standard compare do handle well classic begin completely lose throw derange English smart levitate defy black trail good competent like ask sure remember make never most dead possibly redeem hear disappoint come up eminently hummable wish spend create more want really badly know do wind vanish do maybe",-1
"wake up sleep watch mega disappointing numb new weekend bad bad not just bad be terrible terrible take grant terrible expect away plot common have get big onboard write directed be go wrong have hire teach English be play ambitious desperate cool get be pretty young play use determine recover punish recruit most trust faithful recover stolen be hidden much bad too hold threadbare centre top indulgent establish connect instead coherent traditional set most loosely construct garish dodge ridiculous climatic complete zip dirty believe not drive not all set badly item quite neat actually very little make large be just go really little expect seemingly fast pace sickeningly sentimental associate know make be more do not think care reek arbitrarily pack actually bother do overcook kill softly be kill package snazzily glossy work exotic fancy probably cost still feel hollow do not hold borrow narrative do not help do not blend thin complain little less more engaging grating make want fumble foolishly unable top do decent salvage be irresistible spontaneous cringe be cup repeatedly scowl deliver double not screen be up good like be prolong be do not know mean be sorry say",-1
"such long await disappoint go look turn out bad deserve act professional have very well good do not think shoot beautifully saturated alright nevertheless way intrinsic shoot want exactly place happy shoot very shabbily no make have use very well have much much good bad have see recent good guess initial fly good mention nearly just make sure do not forget",-1
"like write be not like hard hit funny like guess as predictable like do not like much sigh perfect attempt push edge way more effective barbed wear research alternative swear leave kill more any deserve not watch most green almost require somewhat great obviously hope enough better do say preferably not mentally challenge challenge good avoid statutory watch injurious mental like obvious English turn priceless short opposite suppose promise low mere just wrong have warn anyways",-1
"big know create big add stretch most disgusting perform be have run happen good well playing comic speak good just forget",-1
"say good great not serious unbearable do not really go well not make all say not involve stupid large not not really good disappoint",-1
"be not terribly impressed 1st be not much smart political unleash cause sexual replace murderous start right short explain fly kill short arrest discover home assume suppose unclear never revisit introduce blah blah blah cool mysterious star bad as lurch forward sad unsatisfy well",-1
"have write bad interesting completely abandon roll watch never real amuse be not amuse entertaining be just annoy never show very much affect result very very frightening deteriorate let obviously derange ultimately die flee north run few appear make huddle awful mail",-1
"love frequently live constant similar give breed wonderful bubble bend develop bring dine begin really run right edge where go do not know spoiled ahead all sudden light drift earlier long haired luminescent yeah well bad rouse promising rewarding build up exceed build up not way storytelling big",-1
"huge previous twist darkly hilarious right poor intriguing leave bewilder supposed show generic extract infect completely unsatisfy explain extraterrestrial be human do gratuitously sadistic not just unleash completely lethal be instead have male keep hope improve keep watch just get more pretentious preposterous religious simply force clear think profound give just",-1
"be not admire execute masterfully not scorn bring cut sadly still absolute require strong too far do not matter direct insult character original thereof handle least believable too much criticize not bother condemn more appropriate moronic base super bad",-1
"so add interesting not exactly worthy york hardly slouch new find slightly unbelievable do not notice come instead real real penetrate bounce forget let be listen make more logical deface originally mount tweak quite absurd sound silly compare deliver well fitting early stop end turn whole wonder exactly rocket aim go do not free more",-1
"come true long see exist printed finally come unable complete restore win watch realize esoteric very real be entirely possible no compete finished perfect imagine really thrill finally project very few know shaky very look start see new alternate fade away pretty neat alright few fleeting intermix new do not convince never let be probably not right judge bad visual supposedly direct follow up believe fly be difficult believe show screen good original cut just do not make really work have all see theatrical do make fill do not complete shoot use little possible make look airtight coherent get comfortable use extremely disrespectful film good lift relatively intact release include not ironically film film edit hasty make fist know honor throw good well be neat watch shoot neat film highlight release major really just jump well serve complete delete section instead shoe horned nonsensical narrative inferior many take familiar use sloppy edit bad watch open daily look as call walk dark follow walk dark turn initially confuse expect entire fill questionable mess too cut be just random major shoot use set use more probably too much admit extend military well as note show bear know be blind know try hard honor original drop less mistake indicative entire suppose final inescapable entire probably easy do not make separate be expect essentially delete play be really worth finally legendary initial expect excellent little know watch new be realize stand bold manage make entertain many continue new most likely remember",-1
"fascinate truly bad be supposed learn reflect up suppose impressed do do unsuccessfully mock obvious edit really informative achieve good tell bad finished truly amazed believe struggle intellectual try intellectual",-1
"set southern believe completely deservedly forget bright not discover mild absolutely silly indulgent glorify suitable drunken certainly not commercial non commercial good most independent not pick up major bore irrelevant immediate avoid",-1
"not believe actually worse go force tag begin suck act suck suck end really suck like suck too say great plain be not crack addle think be still think horrible do not start horrible most boring entire do not watch burn all proceed good bowl columbine",-1
"now never see bad physiological do wow demented show up multiply pointless pointless big look just cut good reckon fine understand go not just just get not half be",-1
"much bad original actually painful sit barely hold new marginally interesting extra thin still bad mediocre instead be much good",-1
"awful pretty not very good have involve Indian maiden interesting do not well okay interesting not badly pace partly act imagine close dance look big probably more laughable not mention topless tie spend whole never read old require liberal fast forward schlock ridiculous do not tend not very good take original as call originally begin grow try clever try exploit seat clever very few left limited often come good approach infantile harmlessly rarely say dress look good nice western need not watch again probably play arrest murder not long film wrap obviously ruin",-1
"ok hear new come pretty big mean great however completely waste get have great watch American usual suspect great probably sign think go great as do hear enter fresh face say fresh face rotten have not hit yet well add no bother read terrible get character dimensional make bible look get sound worthy token troubled black cool gorgeous not belong real short whiny speak high complete rich experience mean whole not leave force crooked dead prevail get really kid want great great old enjoy wish more more thumb terrible many no longer mean terrible suck badly laugh just not end yell just keep happen all save terrible well bad terrible turn turn terrible rich try special get old play young",-1
"see say hope unfortunately countless have see almost have want walk early bad obviously originate provocative concern cultural organic human derive famous come never know novel good enough good adapt political especially devastating political stale simplistic white male condescend ironic foreign fresh be long past more detailed look up many professional available online almost poorly expose shallow manipulative base amateur more easily bamboozle review similar frequently come stunning breathtaking profound shocking embarrass do not surprise have encounter many regard deal racial cultural sexual deeply move provoke full profound all mean move hand set higher safely pass",-1
"unfortunately pay watch shallow meaningless base ethnical as happen most American think learn Asian unfortunately not enough know do not make understand clean try stop Lebanese ok get cultural approach completely different Arabic main eastern western do not make do not question do sexual much say sexual wrong write promote black understand mean black black reflect funny",-1
"good very bad good sandy be prefer",-1
"be sorry not save go think come wild wacky direct sadly realize try serious do opposing have lose original force second shame hate later maybe never buy hackneyed Australian not fit dominate ergo go tough stupid go horribly awry look good place smacking musical take away many",-1
"well least do remember watch little never favorite musical do still hold little special be still hear horrible be decide never say really be not bad agree decide call up just laugh totally steal be not really clever not mention just use different do pink continue leave not mention striking as well just stupid ridiculous have not stop new sandy come strike pink stick pink stick new decide win dress up rebel ride well defeat evil easily kick tell really well grease silly do not do not click as well do not mention Frenchy come silly unbelievable graduate apparently do not not really catchy be glad able fast be probably silly little not really recommend curious warn just pathetic more famous musical",-1
"be be straight actually like say reel grease truly lame do not sheer no whimper slow often just play dead feel cheap large lose messy unfocused substantial get do not embarrass be worth forget misfire low no star",-1
"when classless shameful euphoric powerfully addictive watch again again again pass too confused hostile old review brilliant well original fledgling adolescent blame assure unyielding utter pass however not little absolutely suggest inane artless slipshod all participate dignify explain well execute musical develop grease few debatable obscenely pointless most appear relate excessive general do make concrete uncomfortably stupid demonstrate crude not least somewhat likable instead annoy offer sacred initiate kick away fervently scrub touch accept bumble great beautiful smart resourceful musical feasible ultimately embrace reveal slovenly jaw smack dirty wear gracelessly rude trashy aside pretty guess harbor likable thus give whatsoever do not want mention gross apparently many feel unfair say though think want revisit old akin nose old brace magic go feel dirty disturbed",-1
"very very initial manage stomach switch watch instead way great massive hugely state dull act awful especially really stick good look daft look incredibly uncomfortable especially apparent meet suppose simply be not evident apart ignorant stupid never less pull help uncover completely ridiculous incredible simply absurd blow do not watch pure",-1
"unexpected be not really worth look unfamiliar wonder headline lesbian be pretty restrained do not really be not able emotionally invest guess be not be not sure muted soft be very interesting prurient see make be handle discreetly disappointed personal good instead",-1
"have read easily entertain be badly write direct act barely make speak ridden completely implausible make do not lifeless dull be as lee decide write struggle be not allow true do not standard bad",-1
"change unexpected bad script contain laugh husband bad cover play no kid try defeat inept unbelievably terrible staggeringly bad bad be turn be",-1
"remember watch want again earn serious go really bad bad bad definitely waste",-1
"say project bad make edit call mean big release very serious try make bad do not think see bad take suck really hate talk bad consider take up different complete but ask mean scary think whole vote bad make",-1
"german manage many think impossible be unseated bad truly edited new shoddy laughable well bad proud embarrass say watch morbidly fascinate just low set answer subterranean dig bury begin cast international live discover easily understand manage many willing ridiculous straight face main villainous play german thick german aside serial old beat stop innocent take home inexplicably top do plain refuse investigate go far physically set excruciatingly bad apparently include just enough paint enough paint obviously unpaid non sad possibly act native desperate age little spend special fair do few genuine look sadly not afford uniform cop shiny new more focus dirty derange german futile young stop young especially pitiable be whole vague real fit right tortured pose see appreciate get resurrect just visit protective do not ask murder just accept enjoy absurd much prolonged claw straw covered grave manage make look exactly as do maybe pretty black make up generously airbrush look look more high ready borrow creative laud inject large cheesy be talk prehistoric electronic play still young enough speak normal mean as do give ample shower more golden dialog golden not spoil revealing end say be perfectly say",-1
"decent particular ruin entire ruin utter far worst see face entire emotional silent manage ruin not waste watch do not bother much well choice be read be no good have wonderful trick think actually sing",-1
"mean funny redeem good get sheer nonsensical inane horrible act many unanswered black do make up smear black scary old lastly all why have think actually issue apologize advance least much",-1
"believe create think try make artistic just make bad look apply too much few finally maybe total definitely not well definitely credit painful finally finish again reiterate voodoo strange not make much whole Romanian just do not make all never explain",-1
"seriously start park bad take pull sit ponder happen up bad eventually return heavy do not think still wonder ask get think ok bad repeat slightly good eventually start take awhile consider obvious get voodoo place just die bad eventually kill magically protect get rid bag come suppose indicate magic cause meet up apparently ride look normal apparently freak hideous freak do not notice massive kill bad end up though try drop",-1
"believe carry bad totally fool do not fool not worth do not know positive disappoint sad do not match say do write watch positive joke just actually like have lose do not start compare entire cop do not close real say care cop compare rest",-1
"little proclaim see just especially see lot good bad far worst see entire not act horrible special make up bad see make up black totally proof never judge be cover cover sweet favor not watch go as far put sticky inside return say suck do not waste now do not want good do not know get do negative",-1
"actually give there be very high need immediate professional as do not spend no star quite literally scary well guess be pretty much horrible real horrible apart act set wrongly assume watch actually quite scary be terrify come never able away think be amateur be take aback be write mobile do not forget bring further current horrible just suffer bad have see say never never top",-1
"bad see deceive maybe hope laughable well acting poor just imply categorise cheesy actually talk human make up then burn",-1
"stop pick up watch understand cheesy act suspect be not expect much least do not cost apparently do not appear near end look new never appear absolutely agonize run feel accord hear sound think sound kinda gross be not good make maybe try too many end incoherent end up free still feel rip rate not allow",-1
"not worth video rental occasional act poor edit very choppy many no sense just gratuitous badly dub highly inappropriate extremely talk let just piss bad holy horribly as be well look all do not say much cover good very deceive main great",-1
"thank do not waste rent happen bad see whole visual unnecessary far apart live dead loop ok read see get mean directed get rate not willing kinda direct finish say strong pass extreme bored not watch",-1
"usually support independent try very comprehensive tolerant tend worth just move away imagine follow think really bad see far great attractive promise get really do not better good",-1
"give give given sit expect bad make fine look up see bad rate come critical do not prepare look well ok well not let ban good act many look Swiss special really just terrible not think funny be not say make good think",-1
"deserve big fat rate film bad usually go not actually begin feel angry watch be insultingly poor not believe responsible actually think acceptable be non do not react act resemble human entire scantily decorate vaguely resemble suppose whole pointless do not finally turn up look rubbish do not very much make good never see be pitiful bad honestly very worst note positive not imagine neutral genuinely think good be terrible be generous",-1
"go greatest hear think independent lone dead wrong be psycho kill female get be come rise order proper involve begin cinematic cause look dark pale mindless debatable intelligent cannibalistic eat as result primitive most basic walk talk poor not act real sure eat horrible very interesting great make ask why not beautiful kill say consider really bad produce not recommend love too much be",-1
"watch see total see as bad bad bad be not true directed bad german hang punch clearly miss pull lead tell come think maybe not right bad murder be not sure be happen totally stupid act awful act stupid see totally obvious illegally abduct slap take return all do not know happen total stop not anymore bad start not waste anymore write absolutely worthless",-1
"bore look little watch say follow do not warn not have use just be completely misname little depend take place revolve crooked act as badly possible try suck much trivial kill serial not flaw think get serial completely wrong serial enjoy kill live personal knock inject do not sex dismember bore eventually whopping kill voodoo apparent come all bury toss not know buy sharp clean be all wear act very poorly revenge act write set make up do not look really dark make up facto make behave think act perfectly human weak compare many brief open exact later willing topless trite badly construct stop warehouse be obviously film bad overly sparse up blind fail clear",-1
"yeah be sure really all stand clon few really glad instead rent be big be pretty sure see probably throw up laugh too hard mean pose walk really help too choose walk up especially pose flat live argue closed not tell indicate multiple do not help well expect throw random good warehouse apparently ship just ream bad not",-1
"last buy watch think go dead wrong as spend good very mislead watch up point come alive talk phone actually speak start drive not suspend anymore actually consider so bad be good do not finish mention actually police make glad not watch worse not watch",-1
"german manage many think impossible be unseated bad truly edited new shoddy laughable well bad proud embarrass say watch morbidly fascinate just low set answer subterranean dig bury begin cast international live discover easily understand manage many willing ridiculous straight face main villainous play german thick german aside serial old beat stop innocent take home inexplicably top do plain refuse investigate go far physically set excruciatingly bad apparently include just enough paint enough paint obviously unpaid non sad possibly act native desperate age little spend special fair do few genuine look sadly not afford uniform cop shiny new more focus dirty derange german futile young stop young especially pitiable be whole vague real fit right tortured pose see appreciate get resurrect just visit protective do not ask murder just accept enjoy absurd much prolonged claw straw covered grave manage make look exactly as do maybe pretty black make up generously airbrush look look more high ready borrow creative laud inject large cheesy be talk prehistoric electronic play still young enough speak normal mean as do give ample shower more golden dialog golden not spoil revealing end say be perfectly say",-1
"green keep put absolute ironic love have never see amazed stuff awful say do not equal add curious bad really be bad not end pathetic start quickly notice audio incredibly badly dub act incredibly awful edit easily bad unbearably not anymore as not end not anymore waste not watch",-1
"far bad seen entire be not kid poorly not act look come definitely disguise appear make up just black call begin up almost watch good honestly awful not believe badly jump go audio awful look be joke make fake consider rent advise least show be awful truly wish watched rent",-1
"horrible acting bad cheesy just never see bad decide fast forward redeem happen do not aside nice shoot apparently film use least set red different go least not echo rent small much cheap entire quite bite more versatile believable spend hope get demand spend rip",-1
"include many low amateurish straight want see many excellent many forgettable remember forever most hopelessly laughable see still have not recover watch weird do really see do really recommend eat safe safe not recommend want recommend as bad however entertain watch probably most indefensibly abysmal ask bad seen say seriously think be great make boring bad deserve actually stun really edited digital not wait consistently ridiculous",-1
"have discover get rent base look cool scary be zero special miss funny act briefly bad think just try make bad dub however not possibly imagine bad real bad be embarrassed rent never again",-1
"bad cheesy simply awful think more spend entire cover mislead rent base strictly much as explore little prior visit local video rental want not watch motivate instead much more enjoyable warn",-1
"personal responsible get rental argue perpetrate false be not enough cover sell have well make up actually depict say be not go more go full come main bear raise german be insult",-1
"honestly want watch keep say well well finally show up paint talk regular drive ask want say want come not any longer sue",-1
"go video bad look look just bring home not much worse want bad get do not know exist old write direct nice aspiring mad actually pay direct need shovel belong think rent tell tell get ready commit do not be not worth really nice say do not",-1
"imagine excellent induce call move not watch sit pure not watch thank nominate watch few unfortunately good animated short short sit whole feel sorry predict be come win",-1
"cool hear be know well do know good absolute rent big know as sit do good as involve corrupt cop brave enough uncover targeted maybe say horrible turn bad shoot still collapse just awful real bad cover sport unruly look much just know not clearly slum",-1
"there end act shoddy poor awful watch not got let release obviously effect not up par contemporary awful incoherent babble evil not quite sure too awful follow watch begin just",-1
"get bad be have sleep pop pretty good be phone say double too tight look more be more wait wear big drive look rolled honest use dynamic do not hide be be drive have note act wooden cheap horrendous follow be sure read say here certainly be make up as go thin apparent hold need full just tuck never see again bad not look more disgruntle east batlike not make up radioactive flame second exposed hood be radioactive be highly flammable be not explain well unfortunately open know be cardboard push look weigh knock soon whole burn disabled pass take leave fend tell not worry smash up surely buy guess say careen few short not matter much probably die try tired convinced notice park maybe see run up clearly densely populate suburban bad but young want be look bad not hit good want try early",-1
"grant serial nonetheless earn utterly lack know more concerned generate unfortunately produce star tacky fly canned dull support open offer come thoroughly inane rescue mechanical drone stumble look confuse have see cheap fit poorly adjust crumpled still manage pull critical miscast display little charm individual do not cut particularly dynamic create have considerable handle limited too old old exciting tired amble evident not know early manage present more energetic offer motion not provide much support not lead most boring wizard great actually lead dub desperately try sound menace prime eccentric simply annoy established comic superfluous hard discern much face virtually too bright previous serial mere most important prop draw laden incoherent further saddle uninspired repetitive amateurish resemble suburban middle cheap desperately need keep roll up not invest more create thrilling serious not fool excellent capture more authentic comic combine good not",-1
"feel physically sick totally detach British whole blue pretend always say go go scummy work never never loft back more square 14th public yeah right top awfully depress stupid middle bit old have why do not make sick",-1
"go go watch come not just ask ask double bad acting not believe hit low reduce make 4th 5th secondary watch move expect usually do reduce use single fall wrong unbelievable read have leave wonder pick up go do show do not up cut pathetic chop shaky deteriorate show assassinate steady honest tell not waste see not work read say pay still come concur no wonder direct conscientious",-1
"barely express utterly utterly awful sell normally make entertaining honestly say gouge again act awful almost funny insanely weak cavernously wide fly poor old write not least surprised not hire shoot bad wed video utter utter responsible make cheapen ashamed never face again not imagine agree star see entire",-1
"how many corrupt cop slip up enough cop run mini include think catch write weekly overhear say corrupt never too precious feel bad big name make feel free do very major enjoy see however believe most young turn",-1
"almost low say bad not give instead do sweet specifically store take entire do not bother not stink do acting be change fast as never refuel consider hostile check sky top secret play still whisper do tell jailed great consider do not drink listen definitely kill kill well as very brief totally random lesbian come",-1
"well bad star written sure famously bad take take seriously Romanian speak just far catch up speak just utterly devoid bad literally feel violate watch know make feel clean again release not imagine suspect make protective receive regular",-1
"star just launch major new evade steal hold force send good sand wipe incriminate have learn skip tell cover tamper occur negative low come pour just confirm decide be not bad favourite maybe just maybe make great again fool dub horrendous aerial awful cheap value risible unconvincing boring induce do not thankfully skip apparently mark mean more awful European mark be manage rocky be not be not fun fail",-1
"mentally ill most die hard horrendous plot just stupid mean not just bad barely coherent act unbelievably wooden literally see well acting be ironically try lesbian utterly cringe worthy special not look place suffer exhaust do not make as do buy ask",-1
"never pass bad start get pick up kill few self be active military save steal use evil English obsess include suffice say terrible almost always deliver hefty top act be not interesting make absolutely no sense not add as main cast purely yet be not titilate just confuse as make as happen do not need short terrible bad deliver bore badly choreograph non relevant serve achieve impossible make bad miss most ardent",-1
"just watch let few think improve act direct special light apparently strong super advanced completely invisible cost invisible apparently fly middle east completely random lesbian do not mind like lame more randomly zoom skip random yeah predictable as rank up snake",-1
"enjoy schlock rank up preposterous set bad really crack up want instead be go work general oversee covert wipe run knife kill naturally guard gun too explode little fly refuel long be give away Arabian consist black flat gauge hoot",-1
"first all not high more not secondly be change not thirdly not not least select pull trigger actual fire turn see be mysteriously transform small not big however still question ask do manage fly really bad assign properly mark seriously consider add not fair receive",-1
"watched know say say laugh think do believe appear cool grab act much good perfect believe not big really prefer not android call shallow annoy happy pop ok think do bad very well entertaining think ruin much enjoyable ok suddenly appear turn flash low misplace cop maybe want make video",-1
"time unite great promise pardon military attempted escape base later catch interrupt able successfully infiltrate northern terrorist operate call black commandeer American admire sand receive kidnap black female figure not command kidnap well maybe sand train sand bomb entire black equip biochemical hope detonate unite get be not slice mostly fire drop dead set do not hold up do easily able undetected easily plot nothing write edit fast too jerky be not active tightly edit hard see take good old poor be as understate as not compliment more disappointing never fight chief do not snap visible sure slight get toss be not clear as enjoy fast edit dizzying close",-1
"start general organise unofficial new literally turn invisible general give top go well disappear more literally want fly northern deliver terrorist know black plan undetected kill general worried send sand kill bad British direct direct equally awful luckily decide be not work unsuspecting thankfully spare further be apparently almost black star many be share exactly use have admit never see black therefore compare terrible poorly write specialise be bore be not slow be poor be full happen random poor be very lazy overall as never convince proper military follow lame be real bore be right bad up largely be not match up well people change very abruptly be too obvious watch good splice never go consist badly edit be hard tell break whole feel very cheap shoddy reckon think total rubbish do set tear arid look film local actually shoot Romanian do not make convincing act terrible as expect dub again terrible bore amateurish almost really lazy poorly produce bother more",-1
"take mantle very bad have see up be dreadful be not really try fat dub more fare well sorry 3rd very poor come be responsible write laughably inept accord spend boring old figure correct big near spend actually shoot black well redeeming whatsoever miss",-1
"well just fodder bored fall double not spoil tell know see go super know too much turn loose decide instead kill do not remember squat get arrest located old general hand terrorist train dusky die heroically whole fall fly boom instead",-1
"appear sleepwalking dreadful almost entirely close up disguise complete pick technical miraculously camouflage actual more deserve suffice say most interesting fade disappear wipe presumably available final put put",-1
"shockingly dire bad boring do not expect all expect moderately entertain mindless unfortunately do not achieve low few far plot totally irrelevant needlessly complicate confusing huge act truly abysmal border embarrassing good sorry 3rd hard believe close spend dire straight guy gay seemingly hot end up lesbian complete huge display mediocre different many have",-1
"usually do not comment read convinced like few change mind lousy acting lousy big be worst see simply do not bother more any usually check try be wonder give more",-1
"not believe hit low reduce make 4th 5th secondary watch move expect usually do reduce use single fall wrong unbelievable read have leave wonder pick up go do show do not up cut pathetic chop shaky deteriorate show assassinate steady honest tell not waste see not work read say pay still come concur no wonder direct conscientious",-1
"almost be not all bad just think wrong cool play typical tough baddest do not think crack not propose pretty much carry whole funny high be not good bad just there overall be dull bad bad act wrong",-1
"say hide perch prime explode American suspiciously civil begin young name begin use go most famous great launch wealthy wealthy big large metropolitan east miss more north south play run mean confederate name play always get other be escape stop sneak be do horrible play laughable not decide be be play murky name obviously historical real celebrated go honest save not hang blah blah blah hang real set cause American appear puzzle weirdly kind like later discover south capitulate interesting hale pistol forward shoot be fish try make faster not bad lather miss gold profligate battle mark get beat up crooked ward huge funeral tong black auction high surround unreal do fabulous actually spark great well not come be miss say evil grind okay be always great be destroy just play rotten double",-1
"be cheesy see video think have see wish live free do not worth have see bad cheesy be just insult",-1
"how really bad mean retard very head wooden happen thick really cheap flimsy do not think throw second do suck supply build good not hard earn",-1
"spell happy main flash pretty tight pretty much act be show well not mention low play look instead decent like say many stupid blockbuster think good mentally evaluate",-1
"pathetic bad bad not believe constantly talk say pussy refer call pussy just awkward think too many imagine combined horrid acting confusing lame cheap absolutely unbearable rent low well really suck",-1
"really do not expect much see live act dull few decent distract point good actual be not interested see everyday stay away dialog act lose shoot predictable no surprise",-1
"wanted accurate chosen not bunch know free not sucker free have live entire not talk act do dramatize see little really dress not do wear gear instead fit cheesy be not sell black not wear Olympic do Chinese try sound shoot further significant invade show white proclaim west not new york few far very very different show not black accurate show hood as well have much good lee more good",-1
"go bad exist see be cover be super new however play whatsoever look basically many really do not know watch",-1
"wonder whole try all attempt stop manage survive however most frustrating be all avoid possible",-1
"be obviously too many black upset certainly full happy many black bowl watchable be not much more be really surprising talented make probably most notably unfortunately bring quickly trump be silly super bet charge new york read ensure favor innocent enough loose buy few fall apart unsuspected take be not know certain reveal plainly final new be bad watchable act decent film ok least be not silly typical place just not just open stereotype survive maybe",-1
"away new be not marital overdose loose get memorable wonderful stop big ruin read not more think instead lousy populate never cast sleepwalk no really look good best bad very small look generally lose be dull uninteresting unbelievable yeah right be as believable soak lack try zap end up very poor lone late miss listen eloquent overstate new pure fine most see do public good show early start have rate generous",-1
"when spot admit eager say nostalgic go do not expect dump politically correct civil take possible controversial throw stupid appall involved especially fully functional actually accept really want know read not praise just cold hard watch few want interested irritated",-1
"wonder most wish never be just plain ridiculous embarrassing bad read cheesy shiny classic continuously look more fist fight derange as try stop set bronze civil cast try not gag make look alike most annoy read wicked swing very bad lift drunken virgin sit enter silly giggle dress up walk sing horribly key actually make big write compelling be go think be woody sing say like be be not funny",-1
