When	WRB	when
of	IN	of
the	DT	the
comedy	NN	comedy
type	NN	type
cast	NN	cast
and	CC	and
he	PP	he
has	VBZ	have
since	RB	since
flourished	VBN	flourish
in	IN	in
serious	JJ	serious
roles	NNS	role
for	IN	for
which	WDT	which
many	JJ	many
people	NNS	people
would	MD	would
have	VB	have
wrote	VBD	write
him	PP	him
off	RP	off
just	RB	just
a	DT	a
decade	NN	decade
ago	RB	ago
He	PP	he
once	RB	once
again	RB	again
achieves	VBZ	achieve
high	JJ	high
form	NN	form
in	IN	in
his	PP$	his
role	NN	role
in	IN	in
The	DT	the
Night	NP	Night
Listener	NP	<unknown>
playing	VBG	play
a	DT	a
radio	NN	radio
host	NN	host
who	WP	who
becomes	VBZ	become
increasingly	RB	increasingly
troubled	JJ	troubled
by	IN	by
and	CC	and
entangled	VBN	entangle
in	IN	in
a	DT	a
case	NN	case
of	IN	of
well	RB	well
I	PP	I
'll	MD	will
let	VB	let
you	PP	you
see	VB	see
for	IN	for
yourself	PP	yourself
3	CD	3
Excellent	NP	<unknown>
direction	NN	direction
Certainly	RB	certainly
Now	RB	now
unlike	IN	unlike
the	DT	the
other	JJ	other
poster	NN	poster
to	TO	to
which	WDT	which
I	PP	I
referred	VBD	refer
I	PP	I
actually	RB	actually
know	VBP	know
something	NN	something
about	IN	about
direction	NN	direction
I	PP	I
've	VBP	have
been	VBN	be
sutdying	VBG	<unknown>
the	DT	the
art	NN	art
of	IN	of
direction	NN	direction
at	IN	at
school	NN	school
now	RB	now
for	IN	for
3	CD	3
years	NNS	year
Of	IN	of
course	NN	course
I	PP	I
really	RB	really
do	VBP	do
n't	RB	n't
think	VB	think
that	WDT	that
makes	VBZ	make
a	DT	a
lick	NN	lick
of	IN	of
difference	NN	difference
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
matters	VBZ	matter
is	VBZ	be
if	IN	if
YOU	PP	you
like	VBP	like
the	DT	the
direction	NN	direction
but	CC	but
I	PP	I
thought	VBD	think
I	PP	I
should	MD	should
simply	RB	simply
establish	VB	establish
once	RB	once
again	RB	again
that	IN	that
I	PP	I
'm	VBP	be
basing	VBG	base
my	PP$	my
opinions	NNS	opinion
here	RB	here
on	IN	on
something	NN	something
both	CC	both
substantial	JJ	substantial
and	CC	and
relevant	JJ	relevant
for	IN	for
example	NN	example
not	RB	not
the	DT	the
sexual	JJ	sexual
orientation	NN	orientation
of	IN	of
the	DT	the
director	NN	director
or	CC	or
the	DT	the
alleged	JJ	alleged
drug	NN	drug
habits	NNS	habit
of	IN	of
the	DT	the
production	NN	production
team	NN	team
LOL	NP	<unknown>
Patrick	NP	Patrick
Stettner	NP	Stettner
's	POS	's
direction	NN	direction
was	VBD	be
moody	JJ	moody
and	CC	and
dark	JJ	dark
and	CC	and
he	PP	he
allowed	VBD	allow
the	DT	the
angles	NNS	angle
and	CC	and
lighting	VBG	light
to	TO	to
help	VB	help
create	VB	create
those	DT	those
so	RB	so
sought	VBN	seek
after	IN	after
feelings	NNS	feeling
of	IN	of
"	``	"
tension	NN	tension
and	CC	and
release	NN	release
"	``	"
rather	RB	rather
than	IN	than
the	DT	the
messy	JJ	messy
fast	JJ	fast
paced	VBN	pace
camera	NN	camera
work	NN	work
and	CC	and
quick	JJ	quick
cuts	NNS	cut
we	PP	we
're	VBP	be
so	RB	so
often	RB	often
subjected	VBN	subject
to	TO	to
today	NN	today
Some	DT	some
people	NNS	people
can	MD	can
truly	RB	truly
show	VB	show
you	PP	you
a	DT	a
story	NN	story
through	IN	through
their	PP$	their
camera	NN	camera
while	IN	while
other	JJ	other
's	VBZ	be
feel	VB	feel
as	RB	as
if	IN	if
they	PP	they
have	VBP	have
to	TO	to
make	VB	make
the	DT	the
story	NN	story
with	IN	with
the	DT	the
camera	NN	camera
I	PP	I
really	RB	really
appreciate	VB	appreciate
when	WRB	when
someone	NN	someone
these	DT	these
days	NNS	day
has	VBZ	have
the	DT	the
courage	NN	courage
to	TO	to
just	RB	just
use	VB	use
the	DT	the
camera	NN	camera
as	IN	as
its	PP$	its
supposed	VBN	suppose
to	TO	to
be	VB	be
utilized	VBN	utilize
which	WDT	which
is	VBZ	be
as	RB	as
an	DT	an
eyeball	NN	eyeball
through	IN	through
which	WDT	which
we	PP	we
all	RB	all
see	VBP	see
4	CD	4
Lighting	NP	Lighting
cinematography	NN	cinematography
and	CC	and
editing	VBG	edit
Great	JJ	great
all	RB	all
around	IN	around
I	PP	I
've	VBP	have
already	RB	already
wrote	VBD	write
so	RB	so
much	RB	much
and	CC	and
I	PP	I
could	MD	could
go	VB	go
on	IN	on
about	IN	about
these	DT	these
last	JJ	last
three	CD	three
things	NNS	thing
for	IN	for
another	DT	another
ten	CD	ten
paragraphs	NNS	paragraph
so	RB	so
I	PP	I
'll	MD	will
just	RB	just
wrap	VB	wrap
it	PP	it
up	RP	up
In	IN	in
short	JJ	short
go	VBP	go
see	VB	see
this	DT	this
movie	NN	movie
Do	VBP	do
n't	RB	n't
listen	VB	listen
to	TO	to
people	NNS	people
who	WP	who
have	VBP	have
alterior	JJ	<unknown>
motives	NNS	motive
for	IN	for
trashing	VBG	trash
it	PP	it
especially	RB	especially
if	IN	if
they	PP	they
're	VBP	be
so	RB	so
stupid	JJ	stupid
that	IN	that
they	PP	they
unknowingly	RB	unknowingly
reveal	VBP	reveal
that	DT	that
motive	JJ	motive
1	CD	1
4	CD	4
of	IN	of
the	DT	the
way	NN	way
through	IN	through
their	PP$	their
post	NN	post
Enjoy	NN	<unknown>
the	DT	the
show	NN	show
Ben	NP	Ben
