Why	WRB	why
the	DT	the
actors	NNS	actor
and	CC	and
that	DT	that
's	VBZ	be
lame	JJ	lame
but	CC	but
I	PP	I
did	VBD	do
n't	RB	n't
really	RB	really
care	VB	care
because	IN	because
the	DT	the
movie	NN	movie
is	VBZ	be
hilarious	JJ	hilarious
The	DT	the
characters	NNS	character
are	VBP	be
hilarious	JJ	hilarious
the	DT	the
acting	NN	acting
is	VBZ	be
hilarious	JJ	hilarious
bad	JJ	bad
acting	NN	acting
is	VBZ	be
a	DT	a
GOOD	NP	Good
thing	NN	thing
in	IN	in
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
horror	NN	horror
movies	NNS	movie
the	DT	the
dialogue	NN	dialogue
is	VBZ	be
hilarious	JJ	hilarious
bad	JJ	bad
dialogue	NN	dialogue
is	VBZ	be
a	DT	a
GOOD	NP	Good
thing	NN	thing
in	IN	in
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
horror	NN	horror
movies	NNS	movie
the	DT	the
zombie	NN	zombie
rapist	NN	rapist
with	IN	with
a	DT	a
huge	JJ	huge
dick	NN	dick
is	VBZ	be
hilarious	JJ	hilarious
the	DT	the
flying	VBG	fly
demon	NN	demon
baby	NN	baby
is	VBZ	be
hilarious	JJ	hilarious
and	CC	and
I	PP	I
could	MD	could
go	VB	go
on	RP	on
and	CC	and
on	RP	on
and	CC	and
on	RP	on
but	CC	but
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
say	VB	say
too	RB	too
much	JJ	much
BUT	NP	But
I	PP	I
have	VBP	have
to	TO	to
mention	VB	mention
that	IN	that
there	EX	there
's	VBZ	be
a	DT	a
scene	NN	scene
in	IN	in
which	WDT	which
a	DT	a
girl	NN	girl
masturbates	VBZ	masturbate
a	DT	a
sex	NN	sex
doll	NN	doll
like	IN	like
it	PP	it
's	POS	's
alive	JJ	alive
lol	NN	<unknown>
Oh	NP	Oh
and	CC	and
the	DT	the
zombie	NN	zombie
rapist	NN	rapist
falls	VBZ	fall
in	IN	in
love	NN	love
with	IN	with
the	DT	the
sex	NN	sex
doll	NN	doll
lol	NN	<unknown>
Best	JJS	good
lines	NNS	line
in	IN	in
the	DT	the
movie	NN	movie
Detective	NP	<unknown>
Manners	NP	Manners
sniffs	VBZ	sniff
coke	NN	coke
Detective	NP	<unknown>
Sloane	NP	Sloane
What	WP	What
the	DT	the
beep	NN	beep
are	VBP	be
you	PP	you
doing	VBG	do
Manners	NP	Manners
What	WP	What
the	DT	the
hell	NN	hell
did	VBD	do
you	PP	you
snort	VBP	snort
What	WP	What
the	DT	the
hell	NN	hell
is	VBZ	be
that	IN	that
Detective	NP	<unknown>
Manners	NP	Manners
It	PP	it
's	VBZ	be
nothing	NN	nothing
man	NN	man
it	PP	it
's	VBZ	be
Ehh	NP	<unknown>
Cold	NP	Cold
medicine	NN	medicine
Detective	NP	<unknown>
Manners	NP	Manners
injects	VBZ	inject
heroin	NN	heroin
in	IN	in
his	PP$	his
arm	NN	arm
Detective	NP	<unknown>
Sloane	NP	Sloane
What	WP	What
the	DT	the
beep	NN	beep
are	VBP	be
you	PP	you
doing	VBG	do
Manners	NP	Manners
Are	NP	Are
you	PP	you
beep	VBP	beep
insane	JJ	insane
Detective	NP	<unknown>
Manners	NP	Manners
It	PP	it
's	VBZ	be
cold	JJ	cold
medicine	NN	medicine
Detective	NP	<unknown>
Manners	NP	Manners
repeatedly	RB	repeatedly
kicks	VBZ	kick
a	DT	a
random	JJ	random
guy	NN	guy
in	IN	in
the	DT	the
face	NN	face
Detective	NP	<unknown>
Sloane	NP	Sloane
What	WP	What
the	DT	the
hell	NN	hell
's	VBZ	be
going	VBG	go
on	IN	on
Manners	NP	Manners
What	WP	What
are	VBP	be
you	PP	you
doing	VBG	do
Detective	NP	<unknown>
Manners	NP	Manners
This	DT	this
maniac	NN	maniac
was	VBD	be
rambling	VBG	ramble
about	IN	about
demons	NNS	demon
and	CC	and
then	RB	then
he	PP	he
started	VBD	start
smashing	VBG	smash
his	PP$	his
head	NN	head
on	IN	on
the	DT	the
rock	NN	rock
He	PP	he
just	RB	just
started	VBD	start
smashing	VBG	smash
his	PP$	his
head	NN	head
on	IN	on
the	DT	the
rock	NN	rock
I	PP	I
think	VBP	think
he	PP	he
's	VBZ	be
on	IN	on
PCP	NP	PCP
or	CC	or
something	NN	something
LOL	NN	<unknown>
