Once	RB	once
the	DT	the
writers	NNS	writer
not	RB	not
know	VBP	know
when	WRB	when
they	PP	they
died	VBD	die
but	CC	but
they	PP	they
also	RB	also
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
they	PP	they
died	VBD	die
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
was	VBD	be
not	RB	not
killed	VBN	kill
after	IN	after
he	PP	he
escaped	VBD	escape
from	IN	from
Little	NP	Little
Bohemia	NP	Bohemia
in	IN	in
a	DT	a
robe	NN	robe
Homer	NP	Homer
Van	NP	Van
Meter	NP	Meter
was	VBD	be
not	RB	not
killed	VBN	kill
by	IN	by
farmers	NNS	farmer
with	IN	with
shot	NN	shot
guns	NNS	gun
Homer	NP	Homer
Van	NP	Van
Meter	NP	Meter
was	VBD	be
cornered	VBN	corner
by	IN	by
the	DT	the
police	NN	police
in	IN	in
St	NP	St
Paul	NP	Paul
and	CC	and
gunned	VBN	gun
down	RP	down
with	IN	with
machine	NN	machine
guns	NNS	gun
Another	DT	another
member	NN	member
of	IN	of
Dillinger	NP	Dillinger
's	POS	's
gang	NN	gang
Harry	NP	Harry
Pierpont	NP	Pierpont
is	VBZ	be
shown	VBN	show
being	VBG	be
shot	VBN	shoot
by	IN	by
police	NNS	police
in	IN	in
this	DT	this
movie	NN	movie
Pierpont	NN	Pierpont
was	VBD	be
n't	RB	n't
shot	VBN	shoot
Harry	NP	Harry
Pierpont	NP	Pierpont
was	VBD	be
captured	VBN	capture
and	CC	and
sentenced	VBN	sentence
to	TO	to
die	VB	die
in	IN	in
the	DT	the
electric	JJ	electric
chair	NN	chair
I	PP	I
go	VBP	go
into	IN	into
what	WP	what
happened	VBD	happen
to	TO	to
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
on	IN	on
my	PP$	my
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
review	NN	review
so	IN	so
I	PP	I
'm	VBP	be
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
into	IN	into
it	PP	it
again	RB	again
here	RB	here
Let	VB	let
me	PP	me
also	RB	also
add	VBP	add
that	IN	that
Richard	NP	Richard
Dreyfuss	NP	Dreyfuss
'	POS	'
portrayal	NN	portrayal
of	IN	of
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
is	VBZ	be
pathetic	JJ	pathetic
There	EX	there
's	VBZ	be
a	DT	a
scene	NN	scene
where	WRB	where
he	PP	he
attacks	VBZ	attack
Dillinger	NP	Dillinger
and	CC	and
then	RB	then
gets	VBZ	get
a	DT	a
bad	JJ	bad
beating	NN	beating
While	IN	while
Dillinger	NP	Dillinger
was	VBD	be
beating	VBG	beat
him	PP	him
he	PP	he
was	VBD	be
crying	VBG	cry
like	IN	like
a	DT	a
baby	NN	baby
and	CC	and
screaming	VBG	scream
"	``	"
Leave	VB	leave
me	PP	me
alone	RB	alone
"	``	"
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
and	CC	and
John	NP	John
Dillinger	NP	Dillinger
never	RB	never
fought	VBD	fight
Maybe	RB	maybe
Dillinger	NP	Dillinger
did	VBD	do
n't	RB	n't
agree	VB	agree
with	IN	with
Nelson	NP	Nelson
's	POS	's
bank	NN	bank
robbing	VBG	rob
methods	NNS	method
but	CC	but
they	PP	they
never	RB	never
fought	VBD	fight
Nelson	NP	Nelson
also	RB	also
never	RB	never
cried	VBN	cry
like	IN	like
a	DT	a
little	JJ	little
girl	NN	girl
while	IN	while
getting	VBG	get
beaten	JJ	beaten
They	PP	they
keep	VBP	keep
calling	VBG	call
him	PP	him
Lester	NP	Lester
"	''	"
Baby	NP	Baby
Face	NP	Face
"	``	"
Nelson	NP	Nelson
He	PP	he
was	VBD	be
never	RB	never
in	IN	in
his	PP$	his
life	NN	life
known	VBN	know
by	IN	by
that	DT	that
name	NN	name
Nelson	NP	Nelson
's	POS	's
real	JJ	real
name	NN	name
was	VBD	be
Lester	NP	Lester
Gillis	NP	Gillis
and	CC	and
he	PP	he
changed	VBD	change
his	PP$	his
name	NN	name
to	TO	to
George	NP	George
Nelson	NP	Nelson
The	DT	the
black	JJ	black
guy	NN	guy
that	WDT	that
escaped	VBD	escape
from	IN	from
jail	NN	jail
with	IN	with
Dillinger	NP	Dillinger
was	VBD	be
Herbert	NP	Herbert
Youngblood	NP	Youngblood
but	CC	but
in	IN	in
this	DT	this
movie	NN	movie
he	PP	he
is	VBZ	be
known	VBN	know
as	IN	as
Reed	NP	Reed
Youngblood	NP	Youngblood
John	NP	John
Milius	NP	<unknown>
does	VBZ	do
n't	RB	n't
know	VB	know
anything	NN	anything
Where	WRB	where
the	DT	the
hell	NN	hell
did	VBD	do
John	NP	John
Milius	NP	<unknown>
get	VB	get
his	PP$	his
information	NN	information
I	PP	I
could	MD	could
probably	RB	probably
make	VB	make
a	DT	a
better	JJR	good
movie	NN	movie
than	IN	than
him	PP	him
Finally	RB	finally
the	DT	the
way	NN	way
they	PP	they
showed	VBD	show
John	NP	John
Dillinger	NP	Dillinger
die	NN	die
is	VBZ	be
outrageous	JJ	outrageous
and	CC	and
inexcusable	JJ	inexcusable
The	DT	the
movie	NN	movie
shows	VBZ	show
Dillinger	NP	Dillinger
walk	VB	walk
out	RP	out
of	IN	of
the	DT	the
Biograph	NN	biograph
with	IN	with
the	DT	the
Lady	NP	Lady
in	IN	in
Red	NP	Red
and	CC	and
his	PP$	his
girlfriend	NN	girlfriend
Billie	NP	Billie
Frechette	NP	Frechette
By	IN	by
the	DT	the
way	NN	way
Billie	NP	Billie
Frechette	NP	Frechette
was	VBD	be
n't	RB	n't
even	RB	even
there	RB	there
that	IN	that
night	NN	night
But	CC	but
a	DT	a
girl	NN	girl
named	VBN	name
Polly	NP	Polly
Hamilton	NP	Hamilton
was	VBD	be
Melvin	NP	Melvin
Purvis	NP	Purvis
yells	VBZ	yell
'	''	'
Johnny	NP	Johnny
'	POS	'
Dillinger	NP	Dillinger
pulls	VBZ	pull
out	RP	out
his	PP$	his
gun	NN	gun
and	CC	and
is	VBZ	be
blown	VBN	blow
to	TO	to
hell	NN	hell
It	PP	it
is	VBZ	be
a	DT	a
proved	JJ	proved
fact	NN	fact
that	IN	that
Dillinger	NP	Dillinger
did	VBD	do
not	RB	not
have	VB	have
a	DT	a
gun	NN	gun
that	IN	that
night	RB	night
The	DT	the
FBI	NP	FBI
gave	VBD	give
him	PP	him
no	DT	no
chance	NN	chance
to	TO	to
surrender	VB	surrender
and	CC	and
as	RB	as
soon	RB	soon
as	IN	as
he	PP	he
was	VBD	be
in	IN	in
sight	NN	sight
they	PP	they
blew	VBD	blow
him	PP	him
away	RB	away
They	PP	they
did	VBD	do
n't	RB	n't
even	RB	even
have	VB	have
to	TO	to
shoot	VB	shoot
him	PP	him
They	PP	they
were	VBD	be
so	RB	so
close	JJ	close
that	IN	that
powder	NN	powder
burns	NNS	burn
were	VBD	be
found	VBN	find
on	IN	on
his	PP$	his
face	NN	face
It	PP	it
was	VBD	be
murder	NN	murder
They	PP	they
also	RB	also
say	VBP	say
that	IN	that
the	DT	the
man	NN	man
killed	VBD	kill
that	IN	that
night	NN	night
was	VBD	be
not	RB	not
John	NP	John
Dillinger	NP	Dillinger
After	IN	after
killing	VBG	kill
tons	NNS	ton
of	IN	of
civilians	NNS	civilian
in	IN	in
the	DT	the
Little	NP	Little
Bohemia	NP	Bohemia
incident	NN	incident
can	MD	can
you	PP	you
imagine	VB	imagine
the	DT	the
FBI	NP	FBI
reporting	NN	reporting
that	IN	that
they	PP	they
had	VBD	have
just	RB	just
killed	VBN	kill
another	DT	another
innocent	JJ	innocent
unarmed	JJ	unarmed
man	NN	man
The	DT	the
gun	NN	gun
they	PP	they
had	VBD	have
on	IN	on
display	NN	display
that	WDT	that
was	VBD	be
supposedly	RB	supposedly
on	IN	on
Dillinger	NP	Dillinger
was	VBD	be
also	RB	also
proved	VBN	prove
not	RB	not
to	TO	to
have	VB	have
been	VBN	be
manufactured	VBN	manufacture
until	IN	until
after	IN	after
Dillinger	NP	Dillinger
's	POS	's
death	NN	death
I	PP	I
could	MD	could
go	VB	go
on	IN	on
and	CC	and
on	IN	on
how	WRB	how
the	DT	the
man	NN	man
they	PP	they
killed	VBD	kill
was	VBD	be
n't	RB	n't
John	NP	John
Dillinger	NP	Dillinger
but	CC	but
I	PP	I
'll	MD	will
stop	VB	stop
here	RB	here
If	IN	if
you	PP	you
would	MD	would
like	VB	like
to	TO	to
know	VB	know
more	RBR	more
check	VB	check
it	PP	it
out	IN	out
hereSee	NN	<unknown>
the	DT	the
Dillinger	NP	Dillinger
version	NN	version
with	IN	with
Lawrence	NP	Lawrence
Tierney	NP	Tierney
if	IN	if
you	PP	you
want	VBP	want
but	CC	but
do	VBP	do
n't	RB	n't
waste	VB	waste
your	PP$	your
time	NN	time
with	IN	with
this	DT	this
inaccurate	JJ	inaccurate
piece	NN	piece
of	IN	of
garbage	NN	garbage
movie	NN	movie
