my	PP$	my
all	DT	all
going	VBG	go
on	IN	on
tv	NN	tv
amazed	JJ	amazed
film	NN	film
just	RB	just
wanted	VBD	want
to	TO	to
new	JJ	new
york	VBP	york
tell	VB	tell
grateful	JJ	grateful
all	DT	all
americans	NNS	American
help	NN	help
know	VBP	know
feel	VB	feel
like	IN	like
just	RB	just
doing	VBG	do
job	NN	job
but	CC	but
did	VBD	do
more	JJR	more
hero	NN	hero
's	POS	's
day	NN	day
sep	NNS	<unknown>
11th	JJ	11th
3	CD	3
weeks	NNS	week
kept	VBD	keep
digging	NN	digging
knowing	VBG	know
no	DT	no
survivors	NNS	survivor
but	CC	but
kept	VBD	keep
hoping	VBG	hope
praying	VBG	pray
god	NN	god
bless	VB	bless
kind	JJ	kind
brave	JJ	brave
hearts	NNS	heart
as	IN	as
roommate	NN	roommate
crying	VBG	cry
admitted	VBN	admit
time	NN	time
crying	VBG	cry
attacks	NNS	attack
got	VBD	get
truth	NN	truth
happened	VBD	happen
tragic	JJ	tragic
day	NN	day
asked	VBN	ask
"	''	"
why	WRB	why
"	``	"
did	VBD	do
n't	RB	n't
know	VB	know
say	VBP	say
breaks	VBZ	break
heart	NN	heart
people	NNS	people
evil	NN	evil
"	''	"
it	PP	it
sounds	VBZ	sound
clique	NN	clique
'	''	'
but	CC	but
normal	JJ	normal
day	NN	day
everyone	NN	everyone
"	''	"
firemen	NNS	fireman
said	VBD	say
documentary	NN	documentary
no	RB	no
expected	VBD	expect
happen	VB	happen
not	RB	not
like	IN	like
people	NNS	people
world	NN	world
trade	NN	trade
centers	VBZ	center
pentagon	NN	pentagon
planes	NNS	plane
hijacked	VBD	hijack
just	RB	just
doing	VBG	do
job	NN	job
happen	VB	happen
just	RB	just
second	JJ	second
passing	VBG	pass
not	RB	not
just	RB	just
murdered	VBN	murder
slaughtered	VBN	slaughter
hijackers	NNS	hijacker
did	VBD	do
song	NN	song
heart	NN	heart
seeing	VBG	see
middle	NN	middle
east	RB	east
all	DT	all
people	NNS	people
celebrating	VBG	celebrate
people	NNS	people
celebrated	VBD	celebrate
death	NN	death
lose	VB	lose
mothers	NNS	mother
fathers	NNS	father
sisters	NNS	sister
brothers	NNS	brother
friends	NNS	friend
grandparents	NNS	grandparent
aunts	NNS	aunt
uncles	NNS	uncle
cousins	NNS	cousin
thanks	NNS	thank
people	NNS	people
making	VBG	make
documentary	NN	documentary
truly	RB	truly
think	VBP	think
firemen	NNS	fireman
policemen	NNS	policeman
troops	VBZ	troop
iraq	JJ	<unknown>
keeps	NNS	keep
hope	VBP	hope
up	RP	up
good	JJ	good
people	NNS	people
world	NN	world
thank	VBP	thank
all	DT	all
people	NNS	people
heroes	NNS	hero
10	CD	@card@
10	CD	@card@
