when	WRB	when
daughter	NN	daughter
"	``	"
hot	JJ	hot
blooded"	NN	<unknown>
's	POS	's
original	JJ	original
director	NN	director
life	NN	life
apparently	RB	apparently
ruined	VBN	ruin
production	NN	production
cancelled	VBN	cancel
would	MD	would
've	VB	have
perfect	JJ	perfect
worked	VBN	work
plot	NN	plot
yet	CC	yet
it	PP	it
's	VBZ	be
never	RB	never
mentioned	VBN	mention
again	RB	again
like	IN	like
all	DT	all
slasher	NN	slasher
flicks	VBZ	flick
just	RB	just
too	RB	too
many	JJ	many
bodies	NNS	body
care	VBP	care
actors	NNS	actor
are	VBP	be
n't	RB	n't
great	JJ	great
direct	JJ	direct
video	NN	video
standards	NNS	standard
but	CC	but
most	RBS	most
having	VBG	have
fun	NN	fun
characters	NNS	character
are	VBP	be
n't	RB	n't
it	PP	it
's	VBZ	be
inadvertent	JJ	inadvertent
character	NN	character
acting	VBG	act
none	NN	none
characters	NNS	character
film	NN	film
wanted	VBD	want
work	VB	work
"	``	"
hot	JJ	hot
blooded	VBN	blood
"	``	"
particularly	RB	particularly
lucky	JJ	lucky
enough	JJ	enough
play	NN	play
scarman	NN	<unknown>
"	''	"
cut"	NN	<unknown>
's	POS	's
climax	NN	climax
no	DT	no
big	JJ	big
"	``	"
who	WP	who
dunnit	NN	<unknown>
"	''	"
unmasking	VBG	unmask
killer	NN	killer
like	IN	like
"	``	"
scream	NN	scream
"	''	"
films	NNS	film
does	VBZ	do
n't	RB	n't
gimmick	NN	gimmick
killings	NNS	killing
"	``	"
urban	JJ	urban
legend	NN	legend
"	``	"
films	NNS	film
does	VBZ	do
original	JJ	original
interesting	JJ	interesting
concept	NN	concept
diluted	VBN	dilute
"	``	"
this	DT	this
way	NN	way
write	NN	write
sequel	NN	sequel
sells	VBZ	sell
well	RB	well
"	``	"
ending	VBG	end
but	CC	but
that	WDT	that
's	VBZ	be
par	JJ	par
course	NN	course
any	DT	any
sensible	JJ	sensible
viewing	NN	viewing
standards	NNS	standard
horrible	JJ	horrible
avoided	VBN	avoid
but	CC	but
"	``	"
quality	NN	quality
"	''	"
makes	VBZ	make
true	JJ	true
roots	NNS	root
slasher	NN	slasher
genre	NN	genre
makes	VBZ	make
more	RBR	more
enjoyable	JJ	enjoyable
than	IN	than
any	DT	any
neo	NN	<unknown>
slasher	NN	slasher
flicks	NNS	flick
