my	PP$	my
area	NN	area
try	VBP	try
force	NN	force
"	``	"
burgundians	NNS	Burgundian
"	''	"
as	IN	as
people	NNS	people
pimlico	NN	<unknown>
renamed	VBD	rename
surrender	VB	surrender
many	JJ	many
ealing	NN	<unknown>
comedies	NNS	comedy
as	IN	as
central	JJ	central
theme	NN	theme
idea	NN	idea
little	JJ	little
man	NN	man
taking	VBG	take
either	RB	either
as	IN	as
individual	NN	individual
as	RB	as
happens	VBZ	happen
"	``	"
the	DT	the
man	NN	man
white	JJ	white
suit	NN	suit
"	''	"
"	''	"
the	DT	the
lavender	JJ	lavender
hill	NN	hill
mob	NN	mob
"	''	"
as	IN	as
larger	JJR	large
community	NN	community
as	RB	as
happens	VBZ	happen
"	``	"
whisky	NN	whisky
galore	JJ	galore
"	''	"
"	''	"
the	DT	the
titfield	NN	<unknown>
thunderbolt	NN	thunderbolt
"	``	"
central	JJ	central
theme	NN	theme
"	``	"
passport	NN	passport
"	''	"
ordinary	JJ	ordinary
men	NNS	man
women	NNS	woman
taking	VBG	take
bureaucracy	NN	bureaucracy
government	NN	government
imposed	VBD	impose
regulations	NNS	regulation
increasingly	RB	increasingly
important	JJ	important
feature	NN	feature
life	NN	life
britain	NN	<unknown>
forties	NNS	forty
film	NN	film
's	POS	's
particular	JJ	particular
target	NN	target
rationing	VBG	ration
war	NN	war
accepted	VBD	accept
most	JJS	most
people	NNS	people
as	IN	as
necessary	JJ	necessary
sacrifice	NN	sacrifice
fight	NN	fight
against	IN	against
nazism	NN	Nazism
but	CC	but
increasingly	RB	increasingly
politically	RB	politically
controversial	JJ	controversial
government	NN	government
tried	VBD	try
retain	VB	retain
peacetime	NN	peacetime
major	JJ	major
factor	NN	factor
growing	VBG	grow
unpopularity	NN	unpopularity
attlee	NN	<unknown>
administration	NN	administration
elected	VBN	elect
large	JJ	large
majority	NN	majority
1945	CD	@card@
organisations	NNS	organisation
as	IN	as
british	JJ	British
housewives	NNS	housewife
'	POS	'
league	NN	league
set	VBD	set
up	RP	up
campaign	NN	campaign
abolition	NN	abolition
rationing	VBG	ration
cannot	MD	can
agree	VB	agree
reviewer	NN	reviewer
stated	VBN	state
main	JJ	main
targets	NNS	target
film	NN	film
's	POS	's
satire	NN	satire
"	``	"
spivs	NNS	spiv
"	''	"
black	JJ	black
marketeers	NNS	marketeer
play	VBP	play
relatively	RB	relatively
minor	JJ	minor
action	NN	action
housewives	NNS	housewife
'	POS	'
league	NN	league
not	RB	not
appear	VBP	appear
all	DT	all
satire	NN	satire
very	RB	very
much	RB	much
targeted	VBN	target
bureaucrats	NNS	bureaucrat
portrayed	VBN	portray
either	RB	either
as	IN	as
having	VBG	have
"	``	"
rules	NNS	rule
rules	NNS	rule
'	POS	'
sake	NN	sake
"	``	"
mentality	NN	mentality
desire	NN	desire
pass	VB	pass
buck	NN	buck
avoid	VB	avoid
having	VBG	have
any	DT	any
action	NN	action
all	DT	all
suspect	JJ	suspect
film	NN	film
today	NN	today
different	JJ	different
ending	VBG	end
pimlico	NN	<unknown>
remaining	VBG	remain
independent	JJ	independent
as	IN	as
british	JJ	British
version	NN	version
monaco	NN	<unknown>
san	NN	<unknown>
marino	NN	<unknown>
suspect	JJ	suspect
today	NN	today
concept	NN	concept
probably	RB	probably
serve	VB	serve
as	IN	as
basis	NN	basis
tv	NN	tv
sitcom	NN	sitcom
than	IN	than
film	NN	film
1949	CD	@card@
however	RB	however
years	NNS	year
end	NN	end
war	NN	war
film	NN	film
makers	NNS	maker
keen	JJ	keen
stress	NN	stress
patriotism	NN	patriotism
british	JJ	British
identity	NN	identity
film	NN	film
ends	VBZ	end
pimlico	NN	<unknown>
reabsorbed	JJ	<unknown>
britain	NN	<unknown>
best	RBS	well
known	VBN	know
lines	NNS	line
film	NN	film
"	``	"
we	PP	we
always	RB	always
english	VBP	<unknown>
always	RB	always
english	VB	<unknown>
it	PP	it
's	VBZ	be
just	RB	just
english	JJ	English
we	PP	we
're	VBP	be
sticking	VBG	stick
up	RP	up
right	JJ	right
burgundians	NNS	Burgundian
"	``	"
sharp	JJ	sharp
contrast	NN	contrast
heartless	JJ	heartless
attitude	NN	attitude
officialdom	NN	officialdom
common	JJ	common
sense	NN	sense
tolerance	NN	tolerance
good	JJ	good
humour	NN	humour
cockneys	NNS	cockney
pimlico	NN	<unknown>
all	RB	all
presented	VBN	present
as	IN	as
quintessentially	RB	quintessentially
british	JJ	British
characteristics	NNS	characteristic
most	JJS	most
action	NN	action
takes	VBZ	take
place	NN	place
summer	NN	summer
drought	NN	drought
sweltering	VBG	swelter
heatwave	NN	heatwave
but	CC	but
scene	NN	scene
pimlico	NN	<unknown>
rejoined	VBN	rejoin
uk	NP	Uk
temperature	NN	temperature
drops	VBZ	drop
starts	NNS	start
pour	VB	pour
rain	NN	rain
global	JJ	global
warming	NN	warming
altered	VBD	alter
things	NNS	thing
slightly	RB	slightly
but	CC	but
many	JJ	many
years	NNS	year
british	JJ	British
ability	NN	ability
hold	NN	hold
belief	NN	belief
statistics	NNS	statistic
say	VBP	say
contrary	JJ	contrary
britain	NN	<unknown>
abnormally	RB	abnormally
wet	JJ	wet
climate	NN	climate
ability	NN	ability
make	VB	make
jokes	NNS	joke
climate	NN	climate
equally	RB	equally
important	JJ	important
good	JJ	good
performance	NN	performance
stanley	NN	<unknown>
holloway	NN	<unknown>
as	IN	as
arthur	NN	<unknown>
pemberton	NN	<unknown>
grocer	NN	grocer
small	JJ	small
time	NN	time
local	JJ	local
politician	NN	politician
prime	JJ	prime
minister	NN	minister
free	JJ	free
pimlico	NN	<unknown>
amusing	JJ	amusing
cameo	NN	cameo
margaret	NN	<unknown>
rutherford	NN	rutherford
as	IN	as
batty	JJ	batty
history	NN	history
professor	NN	professor
main	JJ	main
however	RB	however
appropriately	RB	appropriately
enough	JJ	enough
film	NN	film
small	JJ	small
community	NN	community
pulling	VBG	pull
example	NN	example
ensemble	NN	ensemble
acting	VBG	act
no	DT	no
real	JJ	real
star	NN	star
performances	NNS	performance
but	CC	but
making	VBG	make
contribution	NN	contribution
excellent	JJ	excellent
film	NN	film
lacks	VBZ	lack
ill	JJ	ill
rancour	NN	rancour
many	RB	many
more	RBR	more
recent	JJ	recent
satirical	JJ	satirical
films	NNS	film
but	CC	but
wit	NN	wit
satire	NN	satire
no	RB	no
less	RBR	less
effective	JJ	effective
all	DT	all
remains	VBZ	remain
funniest	JJS	funny
satires	NNS	satire
bureaucracy	NN	bureaucracy
possible	JJ	possible
exception	NN	exception
"	''	"
kind	NN	kind
hearts	NNS	heart
coronets	NNS	coronet
"	``	"
personal	JJ	personal
favourite	JJ	favourite
ealing	NN	<unknown>
comedies	NNS	comedy
10	CD	@card@
10	CD	@card@
