to	TO	to
activity	NN	activity
follows	VBZ	follow
but	CC	but
day	NN	day
mother	NN	mother
all	RB	all
fires	VBZ	fire
tony	JJ	tony
"	``	"
white	JJ	white
cloud	NN	cloud
"	''	"
initial	JJ	initial
growing	VBG	grow
pains	NNS	pain
tony	JJ	tony
settles	NNS	settle
firehouse	NN	firehouse
as	IN	as
seasoned	JJ	seasoned
vet	NN	vet
unthinkable	JJ	unthinkable
occurs	VBZ	occur
september	NN	September
11	NP	@card@
2001	CD	@card@
begins	VBZ	begin
clear	JJ	clear
blue	JJ	blue
sky	NN	sky
early	JJ	early
morning	NN	morning
supposed	VBN	suppose
gas	NN	gas
leak	NN	leak
not	RB	not
far	RB	far
wall	VB	wall
street	NN	street
jules	NNS	<unknown>
little	JJ	little
camera	NN	camera
experience	NN	experience
gideon	NN	<unknown>
hands	NNS	hand
camera	NN	camera
younger	JJR	young
brother	NN	brother
tells	VBZ	tell
ride	VB	ride
chief	JJ	chief
t	NN	t
k	NN	k
pfeiffer	NN	<unknown>
arriving	VBG	arrive
8	CD	8
42	CD	@card@
firefighters	NNS	firefighter
begin	VBP	begin
use	VB	use
gas	NN	gas
detectors	NNS	detector
grate	VBP	grate
sudden	JJ	sudden
roar	NN	roar
low	JJ	low
flying	VBG	fly
airplane	NN	airplane
rips	VBZ	rip
past	JJ	past
scene	NN	scene
as	IN	as
jules	NNS	<unknown>
pans	VBZ	pan
upwards	RB	upwards
strike	VB	strike
day	NN	day
american	NN	American
airlines	NNS	airline
flight	NN	flight
11	CD	@card@
smashes	VBZ	smash
face	VBP	face
north	RB	north
tower	VB	tower
1	CD	1
world	NN	world
trade	NN	trade
pfeiffer	NN	<unknown>
orders	NNS	order
men	NNS	man
engine	NN	engine
head	NN	head
world	NN	world
trade	NN	trade
center	NN	center
jules	NNS	<unknown>
asks	VBZ	ask
accompany	VB	accompany
chief	JJ	chief
tower	NN	tower
pfeiffer	NN	<unknown>
tells	VBZ	tell
naudet	RB	<unknown>
stick	VB	stick
close	NN	close
inside	IN	inside
full	JJ	full
impact	NN	impact
growing	VBG	grow
disaster	NN	disaster
begins	VBZ	begin
faces	VBZ	face
men	NNS	man
sole	JJ	sole
purpose	NN	purpose
save	NN	save
lives	VBZ	live
gideon	NP	Gideon
naudet	NP	<unknown>
decides	VBZ	decide
leave	VB	leave
firehouse	NN	firehouse
walk	NN	walk
impact	NN	impact
area	NN	area
captures	VBZ	capture
impact	NN	impact
second	JJ	second
plane	NN	plane
united	VBN	unite
airlines	NNS	airline
flight	NN	flight
175	CD	@card@
2	CD	2
world	NN	world
trade	NN	trade
knows	VBZ	know
jules	NNS	<unknown>
chief	JJ	chief
pfeiffer	NN	<unknown>
inside	IN	inside
towers	NNS	tower
watching	VBG	watch
capturing	VBG	capture
crowds	NNS	crowd
'	POS	'
reaction	NN	reaction
unimaginable	JJ	unimaginable
gideon	NN	<unknown>
begins	VBZ	begin
capture	NN	capture
tape	NN	tape
growing	VBG	grow
fear	NN	fear
lower	JJR	low
manhattan	NN	manhattan
inside	IN	inside
tower	NN	tower
jules	NNS	<unknown>
records	NNS	record
view	VBP	view
world	NN	world
loved	VBD	love
ones	NNS	one
sons	NNS	son
fathers	VBZ	father
uncles	NNS	uncle
grandfathers	NNS	grandfather
husbands	VBZ	husband
boyfriends	NNS	boyfriend
friends	NNS	friend
as	IN	as
one	CD	one
firefighter	NN	firefighter
carrying	VBG	carry
60	CD	@card@
lbs	NNS	<unknown>
equipment	NN	equipment
begin	VBP	begin
long	JJ	long
arduous	JJ	arduous
climb	NN	climb
up	IN	up
80	CD	@card@
stories	NNS	storey
rescue	NN	rescue
injured	VBN	injure
trapped	JJ	trapped
jules	NNS	<unknown>
catches	VBZ	catch
glimpse	NN	glimpse
chief	JJ	chief
pfeiffer	NN	<unknown>
brother	NN	brother
kevin	NN	<unknown>
as	RB	as
leaves	VBZ	leave
selfless	JJ	selfless
duty	NN	duty
caught	VBD	catch
video	JJ	video
gutwrenching	NN	<unknown>
sound	NN	sound
falling	VBG	fall
bodies	NNS	body
hitting	VBG	hit
pavement	NN	pavement
victims	NNS	victim
choosing	VBG	choose
jump	NN	jump
higher	JJR	high
floors	NNS	floor
impact	NN	impact
zones	NNS	zone
sooner	RBR	sooner
than	IN	than
face	VB	face
death	NN	death
hands	NNS	hand
flames	NNS	flame
smoke	NN	smoke
but	CC	but
jules	NNS	<unknown>
respectful	JJ	respectful
never	RB	never
does	VBZ	do
capture	VB	capture
sensationalistic	JJ	sensationalistic
moment	NN	moment
money	NN	money
shot	VBD	shoot
work	VB	work
professional	JJ	professional
baptism	NN	baptism
catches	VBZ	catch
sight	NN	sight
debris	NN	debris
falling	VBG	fall
tower	NN	tower
hit	VBD	hit
second	JJ	second
plane	NN	plane
ordered	VBD	order
way	NN	way
firefighters	NNS	firefighter
evacuated	VBN	evacuate
civilians	NNS	civilian
building	VBG	build
jules	NNS	<unknown>
caught	VBD	catch
collapse	NN	collapse
south	JJ	south
tower	NN	tower
official	NN	official
victim	NN	victim
taken	VBN	take
father	NN	father
michael	NN	<unknown>
judd	NN	<unknown>
chaplain	NN	chaplain
department	NN	department
as	IN	as
jules	NNS	<unknown>
chief	JJ	chief
pfeiffer	NN	<unknown>
make	VB	make
way	NN	way
fallout	NN	fallout
collapse	NN	collapse
tower	NN	tower
tower	NN	tower
begins	VBZ	begin
structural	JJ	structural
collapse	NN	collapse
results	NNS	result
breathtakingly	RB	breathtakingly
poignant	JJ	poignant
view	NN	view
inside	IN	inside
ground	NN	ground
zero	NN	zero
as	IN	as
jules	NNS	<unknown>
gideon	NN	<unknown>
work	VBP	work
separately	RB	separately
document	VB	document
day	NN	day
not	RB	not
knowing	VBG	know
either	CC	either
alive	RB	alive
fearing	VBG	fear
worst	JJS	bad
as	IN	as
firefighter	NN	firefighter
arrives	VBZ	arrive
firehouse	NN	firehouse
greet	VB	greet
joyous	JJ	joyous
hugs	NNS	hug
having	VBG	have
moment	NN	moment
overwhelming	JJ	overwhelming
emotion	NN	emotion
jules	NNS	<unknown>
gideon	NN	<unknown>
reunited	VBN	reunite
as	IN	as
jules	NNS	<unknown>
cries	VBZ	cry
brother	NN	brother
's	POS	's
shoulder	NN	shoulder
gideon	NN	<unknown>
embraces	VBZ	embrace
younger	JJR	young
brother	NN	brother
as	IN	as
hanlon	NN	<unknown>
makes	VBZ	make
filmmakers	NNS	filmmaker
subject	JJ	subject
fearful	JJ	fearful
moment	NN	moment
tony	JJ	tony
benetakos	NNS	<unknown>
left	VBD	leave
station	NN	station
chief	NN	chief
believed	VBD	believe
lost	VBN	lose
but	CC	but
returns	NNS	return
fold	VBP	fold
"	``	"
probie	NN	<unknown>
"	''	"
proven	VBN	prove
himself	PP	himself
shown	VBN	show
interruptions	NNS	interruption
9	CD	9
11	CD	@card@
stunning	JJ	stunning
achievement	NN	achievement
documentary	NN	documentary
filmmaking	VBG	filmmak
ranks	NNS	rank
up	IN	up
hindenburg	NN	<unknown>
footage	NN	footage
showing	VBG	show
history	NN	history
as	RB	as
unfolds	VBZ	unfold
naudets	NNS	<unknown>
commended	VBD	commend
deft	JJ	deft
handling	VBG	handle
subject	JJ	subject
lesser	JJR	lesser
hands	NNS	hand
tendency	NN	tendency
sensational	JJ	sensational
but	CC	but
naudets	NNS	<unknown>
temper	VBP	temper
eye	NN	eye
dignity	NN	dignity
compassion	NN	compassion
narrated	VBD	narrate
hanlon	NN	<unknown>
feel	VB	feel
words	NNS	word
as	RB	as
takes	VBZ	take
audience	NN	audience
events	NNS	event
september	NN	September
11	CD	@card@
robert	NN	<unknown>
niro	NN	<unknown>
hosts	VBZ	host
program	NN	program
sombre	JJ	sombre
restrained	JJ	restrained
way	NN	way
never	RB	never
seeks	VBZ	seek
camera	NN	camera
glory	NN	glory
lays	VBZ	lay
scenes	NNS	scene
commend	VB	commend
cbs	NNS	<unknown>
bravery	NN	bravery
airing	VBG	air
special	JJ	special
chastised	VBN	chastise
attempt	NN	attempt
grabbing	VBG	grab
ratings	NNS	rating
temper	VB	temper
editing	VBG	edit
emotions	NNS	emotion
relatives	NNS	relative
perished	VBD	perish
needs	NNS	need
reminded	VBD	remind
true	JJ	true
heroism	NN	heroism
is	VBZ	be
n't	RB	n't
dribbling	VBG	dribble
basketball	NN	basketball
selling	VBG	sell
album	NN	album
hate	VBP	hate
lyrics	NNS	lyric
9	CD	9
11	CD	@card@
humanity	NN	humanity
best	JJS	good
heroism	NN	heroism
finest	JJS	fine
cost	NN	cost
freedom	NN	freedom
