i	NP	i
reject	VB	reject
truth	NN	truth
people	NNS	people
know	VBP	know
god	NN	god
truth	NN	truth
god	NN	god
decide	VBP	decide
reject	VB	reject
anyways	RB	anyways
mentioned	VBN	mention
no	DT	no
morality	NN	morality
inherent	JJ	inherent
islam	NN	Islam
but	CC	but
not	RB	not
true	JJ	true
although	IN	although
true	JJ	true
much	JJ	much
comes	VBZ	come
qur'an	JJ	<unknown>
hadith	NN	<unknown>
islam	NN	Islam
recognizes	VBZ	recognize
concept	NN	concept
called	VBN	call
'	''	'
urf	NN	<unknown>
"	``	"
normative	JJ	normative
behavior	NN	behavior
"	``	"
obviously	RB	obviously
normative	JJ	normative
interpreted	VBN	interpret
many	JJ	many
ways	NNS	way
but	RB	but
'	''	'
urf	NN	<unknown>
meant	VBN	mean
"	``	"
good	JJ	good
"	''	"
behavior	NN	behavior
average	NN	average
person	NN	person
consider	VBP	consider
right	JJ	right
wrong	JJ	wrong
documentary	NN	documentary
presents	VBZ	present
shar'ia	NN	<unknown>
islamic	JJ	Islamic
law	NN	law
as	IN	as
unified	JJ	unified
body	NN	body
knowledge	NN	knowledge
all	DT	all
muslims	NNS	Muslim
follow	VBP	follow
simply	RB	simply
not	RB	not
true	JJ	true
many	JJ	many
islamic	JJ	Islamic
schools	NNS	school
law	NN	law
range	VBP	range
progressive	JJ	progressive
modernist	JJ	modernist
fundamentalist	JJ	fundamentalist
way	NN	way
interpret	VB	interpret
law	NN	law
hadith	NN	<unknown>
tradition	NN	tradition
similar	JJ	similar
thousands	NNS	thousand
hadith	NN	<unknown>
school	NN	school
law	NN	law
accepts	VBZ	accept
rejects	NNS	reject
using	VBG	use
hadith	NN	<unknown>
serious	JJ	serious
scholarship	NN	scholarship
determine	VB	determine
ones	NNS	one
accurate	JJ	accurate
real	JJ	real
applicable	JJ	applicable
indiscriminately	RB	indiscriminately
picking	VBG	pick
choosing	VBG	choose
quotations	NNS	quotation
history	NN	history
fit	NN	fit
want	VBP	want
say	VBP	say
documentary	NN	documentary
did	VBD	do
hope	NN	hope
people	NNS	people
realize	VBP	realize
fundamentalism	NN	fundamentalism
problem	NN	problem
not	RB	not
islam	JJ	<unknown>
any	DT	any
religion	NN	religion
christianity	NN	Christianity
fundamentalists	NNS	fundamentalist
shoot	VBP	shoot
abortion	NN	abortion
clinic	NN	clinic
doctors	NNS	doctor
know	VBP	know
not	RB	not
as	IN	as
suicide	NN	suicide
bombing	NN	bombing
just	RB	just
understand	VBP	understand
righteousness	NN	righteousness
fundamentalism	NN	fundamentalism
arguably	RB	arguably
problem	NN	problem
feel	VBP	feel
answer	VB	answer
wrong	JJ	wrong
but	CC	but
feel	VB	feel
answer	VB	answer
work	NN	work
people	NNS	people
's	POS	's
views	NNS	view
politics	NNS	politics
religion	NN	religion
god	NN	god
