when	WRB	when
justice	NN	justice
befall	VBP	befall
"	``	"
craig	NN	<unknown>
manor	NN	manor
"	''	"
imposing	VBG	impose
mansion	NN	mansion
bluff	NN	bluff
overlooking	VBG	overlook
sea	NN	sea
preposterous	JJ	preposterous
potboiler	NN	potboiler
perfect	JJ	perfect
second	JJ	second
feature	NN	feature
written	VBN	write
wind	NN	wind
1956	CD	@card@
douglas	NNS	<unknown>
sirk	NP	Sirk
's	POS	's
saga	NN	saga
powerful	JJ	powerful
powerfully	RB	powerfully
dysfunctional	JJ	dysfunctional
oil	NN	oil
clan	NN	clan
said	VBD	say
inspired	JJ	inspired
1980s	NNS	1980s
night	NN	night
time	NN	time
tv	NN	tv
serial	NN	serial
dallas	NNS	<unknown>
but	CC	but
craig	NN	<unknown>
's	POS	's
low	JJ	low
brow	NN	brow
excursion	NN	excursion
insanity	NN	insanity
right	NN	right
it	PP	it
's	VBZ	be
sinful	JJ	sinful
sister	NN	sister
soap	NN	soap
dynasty	NN	dynasty
all	DT	all
siblings	NNS	sibling
really	RB	really
bad	JJ	bad
great	JJ	great
beauties	NNS	beauty
but	CC	but
it	PP	it
's	POS	's
kathleen	NN	<unknown>
hughes	NNS	<unknown>
'	POS	'
cartoon	NN	cartoon
villainy	NN	villainy
stands	VBZ	stand
valerie	NN	<unknown>
relentless	JJ	relentless
quest	NN	quest
inherit	VBP	inherit
family	NN	family
fortune	NN	fortune
unbridled	VBD	unbridle
enthusiasm	NN	enthusiasm
evil	JJ	evil
movie	NN	movie
's	POS	's
many	JJ	many
guilty	JJ	guilty
pleasures	NNS	pleasure
teenage	JJ	teenage
sister	NN	sister
vicki	NNS	<unknown>
quite	RB	quite
piece	VBP	piece
work	NN	work
as	IN	as
well	RB	well
reminiscent	JJ	reminiscent
carmen	NNS	carman
sternwood	NN	<unknown>
big	JJ	big
sleep	NN	sleep
meet	NN	meet
pulls	VBZ	pull
equivalent	JJ	equivalent
trying	VBG	try
sit	NN	sit
norton	NN	Norton
's	POS	's
lap	NN	lap
while	IN	while
he	PP	he
's	VBZ	be
still	RB	still
standing	VBG	stand
coming	VBG	come
line	NN	line
"	``	"
i	NP	i
graduated	VBD	graduate
summa	NN	summa
cum	IN	cum
laude	NP	laude
embrace	VBP	embrace
able	JJ	able
u	NN	u
"	''	"
whew	JJ	<unknown>
bad	JJ	bad
sisters	NNS	sister
produced	VBD	produce
schlockmeister	JJ	<unknown>
howard	JJ	<unknown>
w	NN	w
koch	NN	<unknown>
terrific	JJ	terrific
trash	NN	trash
wallow	NN	wallow
exploitation	NN	exploitation
excess	JJ	excess
cast	NN	cast
b	SYM	b
heaven	NN	heaven
marla	NN	<unknown>
"	``	"
she	PP	she
creature	NN	creature
"	``	"
english	JJ	English
50s	JJ	<unknown>
hunk	NN	hunk
john	NN	john
"	''	"
revenge	NN	revenge
creature	NN	creature
"	``	"
bromfield	JJ	<unknown>
married	JJ	married
french	NN	French
sexpot	NN	sexpot
corinne	NN	<unknown>
calvet	NN	<unknown>
universal	JJ	universal
starlet	NN	starlet
sara	NN	<unknown>
shane	NN	<unknown>
discovered	VBD	discover
hedy	JJ	<unknown>
lamarr	NP	Lamarr
jess	NN	jess
"	``	"
mr	NN	Mr
susan	NN	<unknown>
hayward	NN	hayward
"	''	"
barker	NN	barker
kathleen	NN	<unknown>
"	''	"
it	PP	it
came	VBD	come
outer	JJ	outer
space	NN	space
"	''	"
hughes	NNS	<unknown>
silent	JJ	silent
screen	NN	screen
star	NN	star
madge	NN	<unknown>
kennedy	VBZ	<unknown>
all	DT	all
they	PP	they
've	VBP	have
got	VBN	get
however	RB	however
much	RB	much
little	JJ	little
future	JJ	future
eurotrash	NN	Eurotrash
star	NN	star
brett	NP	Brett
halsey	NP	Halsey
trumpet	NN	trumpet
apocalypse	NN	apocalypse
seen	VBN	see
briefly	RB	briefly
as	IN	as
vicki	NP	Vicki
's	POS	's
victims	NNS	victim
b	SYM	b
rating	VBG	rate
10	CD	@card@
10	CD	@card@
marla	NN	<unknown>
body	NN	body
english	JJ	English
marvelous	JJ	marvelous
bad	JJ	bad
sisters	NNS	sister
recently	RB	recently
seen	VBN	see
big	JJ	big
screen	NN	screen
as	IN	as
palm	NN	palm
springs	VBZ	spring
film	NN	film
noir	NN	noir
festival	NN	festival
but	CC	but
jury	NN	jury
's	VBZ	be
still	RB	still
wiping	VBG	wipe
soap	NN	soap
suds	NN	suds
aw	NN	<unknown>
hell	NN	hell
it	PP	it
's	VBZ	be
noir	NP	noir
5	CD	5
10	CD	@card@
noirometer	NN	<unknown>
