we	PP	we
disaster	NN	disaster
monumental	JJ	monumental
proportions	NNS	proportion
involving	VBG	involve
disgruntled	JJ	disgruntled
director	NN	director
making	VBG	make
hideous	JJ	hideous
changes	NNS	change
beloved	JJ	beloved
classic	JJ	classic
mrs	NN	Mrs
whatsit	NN	whatsit
officially	RB	officially
personal	JJ	personal
symbol	NN	symbol
confusion	NN	confusion
stupidity	NN	stupidity
wrinkle	NN	wrinkle
time	NN	time
reason	NN	reason
fact	NN	fact
mutated	VBD	mutate
belief	NN	belief
aside	RB	aside
slightly	RB	slightly
controversial	JJ	controversial
decision	NN	decision
casting	VBG	cast
alfre	NN	<unknown>
woodard	NN	<unknown>
star	NN	star
trek	NN	trek
contact	NN	contact
radio	NN	radio
as	IN	as
favorite	JJ	favorite
star	NN	star
turned	VBD	turn
mentor	NN	mentor
filmmakers	NNS	filmmaker
decided	VBD	decide
appropriate	VB	appropriate
introduce	VB	introduce
as	IN	as
crow	NN	crow
that	WDT	that
's	VBZ	be
right	RB	right
crow	NN	crow
moreover	RB	moreover
heavenly	JJ	heavenly
centaurion	NN	<unknown>
form	NN	form
greatly	RB	greatly
beloved	JJ	beloved
character	NN	character
hacked	VBD	hack
looks	NNS	look
demented	VBD	dement
year	NN	year
old	JJ	old
majestic	JJ	majestic
half	NN	half
man	NN	man
half	NN	half
horse	NN	horse
wings	VBZ	wing
huge	JJ	huge
human	JJ	human
head	NN	head
creepy	JJ	creepy
smile	NN	smile
mounted	VBD	mount
awkwardly	RB	awkwardly
bowlegged	JJ	bowlegged
body	NN	body
horse	NN	horse
happens	VBZ	happen
sporting	VBG	sport
pair	NN	pair
wings	NNS	wing
middle	NN	middle
psychologically	RB	psychologically
traumatized	VBD	traumatize
life	NN	life
worst	JJS	bad
fact	NN	fact
spoke	VBD	speak
shown	VBN	show
as	RB	as
avoid	VB	avoid
responsibility	NN	responsibility
lip	JJ	lip
sync	NN	sync
resulting	VBG	result
scene	NN	scene
spent	VBD	spend
looking	VBG	look
head	NN	head
seeing	VBG	see
single	JJ	single
unmoving	VBG	unmove
cheek	NN	cheek
thus	RB	thus
rendering	VBG	render
piece	NN	piece
special	JJ	special
effects	NNS	effect
less	RBR	less
believable	JJ	believable
than	IN	than
e	NN	e
t	NN	t
having	VBG	have
gotten	VBN	get
most	RBS	most
painful	JJ	painful
way	NN	way
tear	NN	tear
inducing	VBG	induce
characters	NNS	character
acting	VBG	act
story	NN	story
personally	RB	personally
always	RB	always
imagined	VBN	imagine
meg	NN	<unknown>
look	VBP	look
somewhat	RB	somewhat
similar	JJ	similar
moaning	VBG	moan
myrtle	NN	myrtle
harry	VB	harry
potter	NN	potter
films	NNS	film
plain	JJ	plain
hair	NN	hair
glasses	NNS	glass
figure	VBP	figure
most	RBS	most
supermodels	NNS	<unknown>
laughable	JJ	laughable
always	RB	always
slightly	RB	slightly
anxious	JJ	anxious
humorously	RB	humorously
pessimistic	JJ	pessimistic
math	NN	math
genius	NN	genius
quite	RB	quite
simply	RB	simply
not	RB	not
cared	VBD	care
less	JJR	less
imports	NNS	import
exports	NNS	export
nicaragua	NN	<unknown>
film	NN	film
unpleasant	JJ	unpleasant
know	VBP	know
all	PDT	all
no	DT	no
sympathy	NN	sympathy
whatsoever	RB	whatsoever
fact	NN	fact
makes	NNS	make
feel	VBP	feel
sorry	JJ	sorry
poor	JJ	poor
mr	NN	Mr
jenkins	NNS	<unknown>
school	NN	school
principal	NN	principal
continuously	RB	continuously
deal	NN	deal
calvin	NN	<unknown>
kind	NN	kind
intelligent	JJ	intelligent
kid	NN	kid
thinks	VBZ	think
jock	NN	jock
becomea	NN	<unknown>
jock	NN	jock
irony	NN	irony
horrible	JJ	horrible
as	IN	as
memorable	JJ	memorable
happy	JJ	happy
medium	NN	medium
took	VBD	take
pleasant	JJ	pleasant
old	JJ	old
woman	NN	woman
liked	VBD	like
look	VB	look
happy	JJ	happy
things	NNS	thing
replaced	VBD	replace
"	``	"
above	JJ	above
gender	NN	gender
"	''	"
likes	NNS	like
look	VBP	look
"	``	"
funny	JJ	funny
"	''	"
things	NNS	thing
as	IN	as
girls	NNS	girl
falling	VBG	fall
swings	NNS	swing
people	NNS	people
think	NN	think
did	VBD	do
decent	JJ	decent
job	NN	job
charles	NNS	<unknown>
wallace	NN	<unknown>
mrs	NN	Mrs
whatsit	NN	whatsit
man	NN	man
red	JJ	red
eyes	NNS	eye
nicknamed	VBN	nickname
"	``	"
the	DT	the
dude	NN	dude
red	NN	red
eyes	NNS	eye
"	``	"
complete	JJ	complete
reinvention	NN	<unknown>
as	IN	as
character	NN	character
story	NN	story
mess	NN	mess
good	JJ	good
comparison	NN	comparison
aspect	NN	aspect
harry	VBP	harry
potter	NN	potter
prisoner	NN	prisoner
azkaban	NN	<unknown>
did	VBD	do
n't	RB	n't
good	JJ	good
job	NN	job
retelling	VBG	retell
story	NN	story
book	NN	book
yet	RB	yet
kept	VBD	keep
sole	JJ	sole
original	JJ	original
work	NN	work
sole	JJ	sole
book	NN	book
having	VBG	have
pleasant	JJ	pleasant
chat	NN	chat
hades	NNS	hade
underworld	NN	underworld
apparently	RB	apparently
unaware	JJ	unaware
body	NN	body
destroyed	VBN	destroy
as	IN	as
dark	JJ	dark
lord	NN	lord
complements	VBZ	complement
sole	NN	sole
well	RB	well
showed	VBD	show
truth	NN	truth
felt	VBD	feel
not	RB	not
seen	VBN	see
flat	JJ	flat
nosed	VBN	nose
wookies	NNS	<unknown>
ixchel	NN	<unknown>
replace	VBP	replace
wondrous	JJ	wondrous
beings	NNS	being
hold	VBP	hold
aunt	NN	aunt
beast	NN	beast
ranks	VBZ	rank
tear	VB	tear
spine	NN	spine
up	RP	up
as	IN	as
god	NN	god
dead	RB	dead
notes	VBZ	note
subtle	JJ	subtle
terror	NN	terror
earth	NN	earth
like	IN	like
camazotz	NP	<unknown>
torn	JJ	torn
pages	NNS	page
scattered	JJ	scattered
sandstorm	NN	sandstorm
lost	VBD	lose
darkness	NN	darkness
land	NN	land
evil	RB	evil
very	RB	very
sorry	JJ	sorry
film	NN	film
exists	VBZ	exist
not	RB	not
believe	VB	believe
actors	NNS	actor
genuinely	RB	genuinely
bad	JJ	bad
it	PP	it
's	VBZ	be
way	NN	way
characters	NNS	character
written	VBN	write
ruins	VBZ	ruin
wrinkle	NN	wrinkle
time	NN	time
deserved	VBD	deserve
adapted	VBN	adapt
lawrence	NN	<unknown>
kasdan	NN	<unknown>
directed	VBD	direct
george	NN	<unknown>
lucas	NNS	<unknown>
steven	JJ	<unknown>
spielberg	NP	Spielberg
enhanced	JJ	enhanced
industrial	JJ	industrial
light	NN	light
magic	NN	magic
scored	VBD	score
john	NN	john
williams	NNS	<unknown>
given	VBN	give
sound	JJ	sound
skywalker	NN	<unknown>
sound	NN	sound
edited	VBD	edit
thx	NN	<unknown>
marketed	VBD	market
twentieth	JJ	twentieth
century	NN	century
fox	NN	fox
current	JJ	current
state	NN	state
film	NN	film
unworthy	JJ	unworthy
shown	VBN	show
self	NN	self
respecting	VBG	respect
people	NNS	people
madeleine	NN	madeleine
l'engle	NN	<unknown>
thought	VBD	think
bad	JJ	bad
book	NN	book
good	JJ	good
film	NN	film
bad	JJ	bad
mrs	NN	Mrs
whatsit	NN	whatsit
ugly	JJ	ugly
score	NN	score
0	CD	0
1	CD	1
10	CD	@card@
pros	NNS	pro
got	VBD	get
names	NNS	name
right	RB	right
cons	VBZ	con
horrible	JJ	horrible
problems	NNS	problem
cliffs	NNS	cliff
notes	VBZ	note
level	NN	level
adaptation	NN	adaptation
script	NN	script
acting	VBG	act
special	JJ	special
effects	NNS	effect
not	RB	not
mention	VBP	mention
lack	NN	lack
evidence	NN	evidence
having	VBG	have
read	VBN	read
book	VB	book
oh	UH	oh
main	JJ	main
cover	NN	cover
poster	NN	poster
picture	NN	picture
main	JJ	main
characters	NNS	character
riding	VBG	ride
flying	VBG	fly
horse	NN	horse
castle	NN	castle
say	VBP	say
symbolizes	VBZ	symbolize
high	JJ	high
adventure	NN	adventure
say	VBP	say
symbolizes	VBZ	symbolize
irresponsibility	NN	irresponsibility
cover	NN	cover
artist	NN	artist
did	VBD	do
n't	RB	n't
bother	VB	bother
photoshop	NN	<unknown>
meg	NN	<unknown>
's	POS	's
arm	NN	arm
properly	RB	properly
